縣市,統計期,業者名稱,類別,基地臺
南投縣,1150630,中華電信股份有限公司,4G,806
南投縣,1150630,中華電信股份有限公司,5G,913
屏東縣,1150630,中華電信股份有限公司,5G,1003
屏東縣,1150630,遠傳電信股份有限公司,5G,748
屏東縣,1150630,遠傳電信股份有限公司,4G,769
屏東縣,1150630,中華電信股份有限公司,4G,1156
屏東縣,1150630,台灣大哥大股份有限公司,4G,786
屏東縣,1150630,台灣大哥大股份有限公司,5G,663
苗栗縣,1150630,遠傳電信股份有限公司,4G,638
苗栗縣,1150630,中華電信股份有限公司,4G,1049
苗栗縣,1150630,中華電信股份有限公司,5G,1025
苗栗縣,1150630,遠傳電信股份有限公司,5G,723
苗栗縣,1150630,台灣大哥大股份有限公司,5G,587
苗栗縣,1150630,台灣大哥大股份有限公司,4G,646
桃園市,1150630,遠傳電信股份有限公司,4G,1308
桃園市,1150630,台灣大哥大股份有限公司,5G,1841
桃園市,1150630,中華電信股份有限公司,4G,1687
桃園市,1150630,台灣大哥大股份有限公司,4G,1581
桃園市,1150630,中華電信股份有限公司,5G,2407
桃園市,1150630,遠傳電信股份有限公司,5G,1581
高雄市,1150630,遠傳電信股份有限公司,4G,1724
高雄市,1150630,台灣大哥大股份有限公司,4G,1920
高雄市,1150630,中華電信股份有限公司,5G,2724
高雄市,1150630,中華電信股份有限公司,4G,2759
高雄市,1150630,台灣大哥大股份有限公司,5G,2162
高雄市,1150630,遠傳電信股份有限公司,5G,2061
基隆市,1150630,台灣大哥大股份有限公司,5G,257
基隆市,1150630,遠傳電信股份有限公司,5G,330
基隆市,1150630,遠傳電信股份有限公司,4G,279
基隆市,1150630,中華電信股份有限公司,5G,374
基隆市,1150630,中華電信股份有限公司,4G,314
基隆市,1150630,台灣大哥大股份有限公司,4G,217
連江縣,1150630,台灣大哥大股份有限公司,5G,40
連江縣,1150630,中華電信股份有限公司,4G,91
連江縣,1150630,中華電信股份有限公司,5G,73
連江縣,1150630,台灣大哥大股份有限公司,4G,26
連江縣,1150630,遠傳電信股份有限公司,4G,28
連江縣,1150630,遠傳電信股份有限公司,5G,41
雲林縣,1150630,遠傳電信股份有限公司,4G,541
雲林縣,1150630,中華電信股份有限公司,5G,915
雲林縣,1150630,台灣大哥大股份有限公司,4G,489
雲林縣,1150630,中華電信股份有限公司,4G,861
雲林縣,1150630,台灣大哥大股份有限公司,5G,551
雲林縣,1150630,遠傳電信股份有限公司,5G,547
新北市,1150630,遠傳電信股份有限公司,4G,1897
新北市,1150630,中華電信股份有限公司,5G,3077
新北市,1150630,中華電信股份有限公司,4G,2429
新北市,1150630,台灣大哥大股份有限公司,5G,2732
新北市,1150630,台灣大哥大股份有限公司,4G,2308
新北市,1150630,遠傳電信股份有限公司,5G,2253
新竹市,1150630,中華電信股份有限公司,4G,406
新竹市,1150630,台灣大哥大股份有限公司,5G,422
新竹市,1150630,中華電信股份有限公司,5G,549
新竹市,1150630,遠傳電信股份有限公司,5G,486
新竹市,1150630,台灣大哥大股份有限公司,4G,287
新竹市,1150630,遠傳電信股份有限公司,4G,342
新竹縣,1150630,台灣大哥大股份有限公司,5G,582
新竹縣,1150630,中華電信股份有限公司,4G,998
新竹縣,1150630,遠傳電信股份有限公司,4G,466
新竹縣,1150630,中華電信股份有限公司,5G,990
新竹縣,1150630,遠傳電信股份有限公司,5G,711
新竹縣,1150630,台灣大哥大股份有限公司,4G,589
嘉義市,1150630,遠傳電信股份有限公司,5G,182
嘉義市,1150630,中華電信股份有限公司,5G,263
嘉義市,1150630,台灣大哥大股份有限公司,5G,177
嘉義市,1150630,遠傳電信股份有限公司,4G,135
嘉義市,1150630,中華電信股份有限公司,4G,209
嘉義市,1150630,台灣大哥大股份有限公司,4G,158
嘉義縣,1150630,中華電信股份有限公司,4G,821
嘉義縣,1150630,中華電信股份有限公司,5G,791
嘉義縣,1150630,遠傳電信股份有限公司,5G,500
嘉義縣,1150630,台灣大哥大股份有限公司,5G,458
嘉義縣,1150630,遠傳電信股份有限公司,4G,448
嘉義縣,1150630,台灣大哥大股份有限公司,4G,498
彰化縣,1150630,中華電信股份有限公司,5G,1336
彰化縣,1150630,遠傳電信股份有限公司,5G,771
彰化縣,1150630,台灣大哥大股份有限公司,5G,849
彰化縣,1150630,台灣大哥大股份有限公司,4G,773
彰化縣,1150630,中華電信股份有限公司,4G,1127
彰化縣,1150630,遠傳電信股份有限公司,4G,803
臺中市,1150630,台灣大哥大股份有限公司,5G,2796
臺中市,1150630,中華電信股份有限公司,5G,3005
臺中市,1150630,台灣大哥大股份有限公司,4G,2471
臺中市,1150630,遠傳電信股份有限公司,4G,2389
臺中市,1150630,中華電信股份有限公司,4G,2761
臺中市,1150630,遠傳電信股份有限公司,5G,2598
臺北市,1150630,遠傳電信股份有限公司,4G,2224
臺北市,1150630,遠傳電信股份有限公司,5G,2303
臺北市,1150630,台灣大哥大股份有限公司,4G,1863
臺北市,1150630,台灣大哥大股份有限公司,5G,2177
臺北市,1150630,中華電信股份有限公司,4G,2057
臺北市,1150630,中華電信股份有限公司,5G,2722
臺東縣,1150630,台灣大哥大股份有限公司,5G,289
臺東縣,1150630,遠傳電信股份有限公司,5G,296
臺東縣,1150630,遠傳電信股份有限公司,4G,358
臺東縣,1150630,台灣大哥大股份有限公司,4G,394
臺東縣,1150630,中華電信股份有限公司,5G,417
臺東縣,1150630,中華電信股份有限公司,4G,520
臺南市,1150630,中華電信股份有限公司,4G,1948
臺南市,1150630,遠傳電信股份有限公司,4G,1151
臺南市,1150630,台灣大哥大股份有限公司,5G,1696
臺南市,1150630,中華電信股份有限公司,5G,1746
臺南市,1150630,遠傳電信股份有限公司,5G,1440
臺南市,1150630,台灣大哥大股份有限公司,4G,1447
澎湖縣,1150630,中華電信股份有限公司,4G,181
澎湖縣,1150630,中華電信股份有限公司,5G,171
澎湖縣,1150630,遠傳電信股份有限公司,5G,123
澎湖縣,1150630,遠傳電信股份有限公司,4G,123
澎湖縣,1150630,台灣大哥大股份有限公司,5G,125
澎湖縣,1150630,台灣大哥大股份有限公司,4G,128
宜蘭縣,1150531,中華電信股份有限公司,4G,757
宜蘭縣,1150531,台灣大哥大股份有限公司,5G,552
宜蘭縣,1150531,中華電信股份有限公司,5G,794
宜蘭縣,1150531,遠傳電信股份有限公司,4G,481
宜蘭縣,1150531,遠傳電信股份有限公司,5G,596
宜蘭縣,1150531,台灣大哥大股份有限公司,4G,506
花蓮縣,1150531,遠傳電信股份有限公司,4G,542
花蓮縣,1150531,中華電信股份有限公司,4G,799
花蓮縣,1150531,中華電信股份有限公司,5G,769
花蓮縣,1150531,台灣大哥大股份有限公司,4G,486
花蓮縣,1150531,台灣大哥大股份有限公司,5G,611
花蓮縣,1150531,遠傳電信股份有限公司,5G,689
金門縣,1150531,台灣大哥大股份有限公司,5G,78
金門縣,1150531,中華電信股份有限公司,4G,390
金門縣,1150531,遠傳電信股份有限公司,4G,125
金門縣,1150531,中華電信股份有限公司,5G,229
金門縣,1150531,遠傳電信股份有限公司,5G,67
金門縣,1150531,台灣大哥大股份有限公司,4G,80
南投縣,1150531,台灣大哥大股份有限公司,5G,542
南投縣,1150531,中華電信股份有限公司,5G,895
南投縣,1150531,遠傳電信股份有限公司,5G,694
南投縣,1150531,中華電信股份有限公司,4G,804
南投縣,1150531,遠傳電信股份有限公司,4G,573
南投縣,1150531,台灣大哥大股份有限公司,4G,618
屏東縣,1150531,中華電信股份有限公司,4G,1147
屏東縣,1150531,台灣大哥大股份有限公司,5G,658
屏東縣,1150531,中華電信股份有限公司,5G,910
屏東縣,1150531,台灣大哥大股份有限公司,4G,782
屏東縣,1150531,遠傳電信股份有限公司,5G,747
屏東縣,1150531,遠傳電信股份有限公司,4G,770
苗栗縣,1150531,中華電信股份有限公司,5G,1013
苗栗縣,1150531,中華電信股份有限公司,4G,1045
苗栗縣,1150531,遠傳電信股份有限公司,4G,638
苗栗縣,1150531,台灣大哥大股份有限公司,5G,587
苗栗縣,1150531,台灣大哥大股份有限公司,4G,646
苗栗縣,1150531,遠傳電信股份有限公司,5G,723
桃園市,1150531,遠傳電信股份有限公司,4G,1308
桃園市,1150531,台灣大哥大股份有限公司,4G,1581
桃園市,1150531,中華電信股份有限公司,5G,2396
桃園市,1150531,中華電信股份有限公司,4G,1687
