"Ministry","Area","Agency","Name","Address","Administration","Latitude","Longitude"
"交通部","苗栗縣","中華郵政股份有限公司","大湖郵局","364苗栗縣大湖鄉中正路42號","洽公場所","24.4223040","120.8680280"
"交通部","臺中市","中華郵政股份有限公司","大雅馬岡厝郵局","428臺中市大雅區昌平路四段82號","洽公場所","24.2178240","120.6681510"
"交通部","臺中市","中華郵政股份有限公司","大雅清泉崗郵局","428臺中市大雅區忠義村仁愛路100號","洽公場所","24.2360640","120.6210860"
"交通部","臺中市","中華郵政股份有限公司","大雅郵局","428臺中市大雅區中清東路177號","洽公場所","24.2232080","120.6477680"
"交通部","桃園市","中華郵政股份有限公司","大園菓林郵局","337桃園市大園區菓林路99號","洽公場所","25.0751680","121.2588630"
"交通部","桃園市","中華郵政股份有限公司","大園埔心街郵局","337桃園市大園區埔心村13鄰埔心街50號","洽公場所","25.0540479","121.2258360"
"交通部","桃園市","中華郵政股份有限公司","大園郵局","337桃園市大園區中山北路85號","洽公場所","25.0660225","121.1969081"
"交通部","桃園市","中華郵政股份有限公司","大溪南興郵局","335桃園市大溪區南興里24鄰仁和路二段126號","洽公場所","24.9033930","121.2668800"
"交通部","桃園市","中華郵政股份有限公司","大溪員樹林郵局","335桃園市大溪區齋明街1號","洽公場所","24.8857150","121.2702630"
"交通部","桃園市","中華郵政股份有限公司","大溪崎頂郵局","335桃園市大溪區仁武里38鄰介壽路890號","洽公場所","24.9003240","121.2837280"
"交通部","桃園市","中華郵政股份有限公司","大溪郵局","335桃園市大溪區康莊路210號","洽公場所","24.8793260","121.2883970"
"交通部","桃園市","中華郵政股份有限公司","大溪僑愛郵局","335桃園市大溪區僑愛里36鄰介壽路42、44號","洽公場所","24.9228060","121.2950220"
"交通部","高雄市","中華郵政股份有限公司","大寮大發郵局","831高雄市大寮區大寮路767號","洽公場所","22.5914120","120.4161660"
"交通部","高雄市","中華郵政股份有限公司","大寮中庄郵局","831高雄市大寮區鳳屏一路370、372號","洽公場所","22.6350400","120.3907130"
"交通部","高雄市","中華郵政股份有限公司","大寮中興郵局","831高雄市大寮區鳳林四路34、36、38號","洽公場所","22.6146740","120.3881150"
"交通部","高雄市","中華郵政股份有限公司","大寮郵局","831高雄市大寮區永芳村鳳林三路530號","洽公場所","22.6066370","120.3954950"
"交通部","高雄市","中華郵政股份有限公司","大樹九曲堂郵局","840高雄市大樹區久堂村中興街143號","洽公場所","22.6557500","120.4201450"
"交通部","高雄市","中華郵政股份有限公司","大樹郵局","840高雄市大樹區檨腳村中興西路40號","洽公場所","22.6912810","120.4314510"
"交通部","高雄市","中華郵政股份有限公司","小港郵局","812高雄市小港區小港一街1號","洽公場所","22.5641970","120.3368690"
"交通部","臺南市","中華郵政股份有限公司","山上郵局","743臺南市山上區山上村250號","洽公場所","23.1014350","120.3594040"
"交通部","高雄市","中華郵政股份有限公司","中山大學郵局","804高雄市鼓山區蓮海路70號","洽公場所","22.6263610","120.2659230"
"交通部","桃園市","中華郵政股份有限公司","中央大學郵局","320桃園市中壢區五權里中大路300號","洽公場所","24.9682380","121.1952500"
